id,content_url,language,title,description
Lb_jlBYPeJE-Foid6v96B,https://hyakkiyakoneon.com/en,EN,百鬼夜行ネオンスタジオは京都を拠点に、ガラスネオンサインの見積り、製作、設置を世界中に提供しています。,百鬼夜行ネオン工房は、ガラスネオンの制作工房です。LEDではなくガラスを使用したネオンサインの設計、製造、設置までを一貫して行っております。機械化できないネオン管を製造し、日本独自の文化であるネオンサイン文化を尊重しています。
FvZ4gGp2LSSSiF7ZWl6fC,http://localhost:3000,EN,タイトル,説明
kgEMDbXZjNgfIFo4G1waY,https://www.youtube.com/watch?v=F-iHC0e-kHo,EN,SORATABI LIFE 沖縄宮古島ツアー♪,A journey that can only be done now. A trip you want to share. A cute airplane trip with Soratabi Life ♡
BWuXgfle-DFci4M8GMHqJ,https://www.youtube.com/watch?v=GE1OFnEi59c,EN,SORATABI LIFE 沖縄 石垣島ツアー♪,A journey that can only be done now. A journey you want to share. A cute airplane trip with Soratabi Life ♡
8RLe3C_3tAATBQmKlubFi,https://www.youtube.com/watch?v=aijNFSetwcU,EN,SORATABI LIFE 北海道ツアー♪,A journey that can only be done now. A trip you want to share. A cute airplane journey with Soratabi Life ♡
5Pxa-E0Nl6u8Ld3YcAwKU,https://www.youtube.com/watch?v=gE7inZ7B6Ck,EN,SORATABI LIFE 北海道ツアー♪,A journey that can only be done now. A trip you want to share. A cute airplane journey with Soratabi Life ♡
rMt3bSDqJErLyjflk5ex9,https://en.japantravel.com/miyagi/the-white-rock-of-shiroishi-city/68199,EN,"The ""White Rock"" of Shiroishi City","Shiroishi City in southern Miyagi is renowned for its reconstructed castle, samurai history, special 'umen' noodles, and the enchanting Zao Fox Village. While exploring attractions and savoring local cuisine are popular activities, researching the origins of the place names offers valuable insights into the history and thoughts of past pioneers. Shiroishi (白石) translates to 'White Rock,' and this rock still exists in a small chained-off enclosure. Located just a 5-minute walk from City Hall or a 10-minute walk from Shiroishi Castle, the rock is accompanied by a pine tree and a historical marker. The 'white' rock is actually ash gray, having weathered the elements for centuries. Standing at 0.47 meters tall and 1.05 meters in diameter, it is considered a resting place for a matchmaking deity. The city is linked to a larger white rock in Neno-Shiroishi, located about 55km away, where prayers for good marriages are said to be fulfilled."
wi9NV9dNdhtK7pLZDjPsK,https://en.japantravel.com/miyagi/sendai-s-flagship-street-food-hyotan-age/68196,EN,Sendai's Flagship Street Food: Hyotan,"Without a doubt, one of Sendai's must-try street foods is 'hyotan-age'. This delightful snack consists of deep-fried fish balls skewered on a stick, offering a crispy exterior and a soft interior. Served with a swirl of optional ketchup, it resembles an American corndog in texture. You can find hyotan-age at Sendai Station near the tourism information center or at the original Abe Kamaboko shop at the end of the CLIS Road shopping arcade. For just ¥250, this portable snack is perfect for a break during shopping. And if you find the word 'あたり' on your stick, you are a 'winner'!"
Q3_mGW68H6qo5y4q1n6yT,https://en.japantravel.com/tokyo/nakiryu-ramen/53990,EN,Nakiryu Ramen,"Nakiryu Ramen (創作麺工房 鳴龍) is a Michelin-starred ramen restaurant located in Tokyo's Otsuka district. Opened in 2012, it quickly became one of Tokyo's best ramen shops, earning its Michelin star in 2017. Nakiryu offers a variety of ramen options, including shoyu, shio, and their signature tantanmen, known for its creamy, spicy broth and handmade ultra-thin noodles. The basic tantanmen starts at ¥900, with spicier and sourer variations available. Open from 11 am to 3:30 pm, closed on Tuesdays, Nakiryu is just a 6-minute walk from Otsuka Station. Don't miss the chance to experience this culinary gem!"
QMsC_LaDhAU_MM637drRO,https://en.japantravel.com/shimane/youmeiji-temple-tsuwano/38930,EN,"Youmeiji Temple, Tsuwano","Youmeiji Temple (永明寺) is a thatch-roofed temple located 15 minutes from Tsuwano Station and 10 minutes from the old town center. I visited in early summer and felt a refreshing breeze from the tall trees and thick forest after climbing the stairs to the temple. The entrance features a tall gate that once marked the boundary between the merchant town and samurai residences. The temple is quiet, allowing weary travelers to relax. Behind the temple is a small but beautiful garden. Built in 1420 by the Yoshimi clan, it served as the family temple for domain lords until the Meiji Restoration. The graveyard in front includes the resting place of Ogai Mori, a prominent Meiji period writer. A unique hollow fish sculpture serves as a silent alarm for the priests, adding to the temple's serene atmosphere. This is a place worth visiting."
